"Lake_ID","Sample1","Sample2","Date1","Date2","TimeDiff_days","predator","nutrients","distance","component"
"L1","L1_0.45_Aug22","L1_0.45_Apr23",2022-08-18,2023-05-03,258,0,1,0.555555555555556,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_Oct22",2022-09-22,2022-10-21,29,0,1,0.372881355932203,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_Nov22",2022-09-22,2022-11-18,57,0,1,0.30379746835443,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_Dec22",2022-09-22,2022-12-15,84,0,1,0.486238532110092,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_Janv23",2022-09-22,2023-01-25,125,0,1,0.431034482758621,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_Feb23",2022-09-22,2023-02-21,152,0,1,0.451612903225806,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_March23",2022-09-22,2023-03-28,187,0,1,0.483870967741935,"Total (SOR)"
"L1","L1_0.45_Sept22","L1_0.45_Apr23",2022-09-22,2023-05-03,223,0,1,0.431372549019608,"Total (SOR)"
"L1","L1_0.45_Oct22","L1_0.45_Nov22",2022-10-21,2022-11-18,28,0,1,0.4,"Total (SOR)"
"L1","L1_0.45_Oct22","L1_0.45_Dec22",2022-10-21,2022-12-15,55,0,1,0.643564356435644,"Total (SOR)"
"L1","L1_0.45_Oct22","L1_0.45_Janv23",2022-10-21,2023-01-25,96,0,1,0.518518518518518,"Total (SOR)"
"L1","L1_0.45_Oct22","L1_0.45_Feb23",2022-10-21,2023-02-21,123,0,1,0.568965517241379,"Total (SOR)"
"L1","L1_0.45_Oct22","L1_0.45_March23",2022-10-21,2023-03-28,158,0,1,0.551724137931034,"Total (SOR)"
"L1","L1_0.45_Oct22","L1_0.45_Apr23",2022-10-21,2023-05-03,194,0,1,0.531914893617021,"Total (SOR)"
"L1","L1_0.45_Nov22","L1_0.45_Dec22",2022-11-18,2022-12-15,27,0,1,0.446808510638298,"Total (SOR)"
"L1","L1_0.45_Nov22","L1_0.45_Janv23",2022-11-18,2023-01-25,68,0,1,0.418918918918919,"Total (SOR)"
"L1","L1_0.45_Nov22","L1_0.45_Feb23",2022-11-18,2023-02-21,95,0,1,0.358974358974359,"Total (SOR)"
"L1","L1_0.45_Nov22","L1_0.45_March23",2022-11-18,2023-03-28,130,0,1,0.397435897435897,"Total (SOR)"
"L1","L1_0.45_Nov22","L1_0.45_Apr23",2022-11-18,2023-05-03,166,0,1,0.537313432835821,"Total (SOR)"
"L1","L1_0.45_Dec22","L1_0.45_Janv23",2022-12-15,2023-01-25,41,0,1,0.272727272727273,"Total (SOR)"
"L1","L1_0.45_Dec22","L1_0.45_Feb23",2022-12-15,2023-02-21,68,0,1,0.401869158878505,"Total (SOR)"
"L1","L1_0.45_Dec22","L1_0.45_March23",2022-12-15,2023-03-28,103,0,1,0.420560747663551,"Total (SOR)"
"L1","L1_0.45_Dec22","L1_0.45_Apr23",2022-12-15,2023-05-03,139,0,1,0.505882352941176,"Total (SOR)"
"L1","L1_0.45_Janv23","L1_0.45_Feb23",2023-01-25,2023-02-21,27,0,1,0.228070175438596,"Total (SOR)"
"L1","L1_0.45_Janv23","L1_0.45_March23",2023-01-25,2023-03-28,62,0,1,0.315789473684211,"Total (SOR)"
"L1","L1_0.45_Janv23","L1_0.45_Apr23",2023-01-25,2023-05-03,98,0,1,0.434782608695652,"Total (SOR)"
"L1","L1_0.45_Feb23","L1_0.45_March23",2023-02-21,2023-03-28,35,0,1,0.229508196721311,"Total (SOR)"
"L1","L1_0.45_Feb23","L1_0.45_Apr23",2023-02-21,2023-05-03,71,0,1,0.54,"Total (SOR)"
"L1","L1_0.45_March23","L1_0.45_Apr23",2023-03-28,2023-05-03,36,0,1,0.54,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_May22",2022-04-21,2022-05-19,28,1,0,0.592592592592593,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_June22",2022-04-21,2022-06-23,63,1,0,0.374149659863946,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_July22",2022-04-21,2022-07-21,91,1,0,0.592920353982301,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Aug22",2022-04-21,2022-08-18,119,1,0,0.682242990654206,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Sept22",2022-04-21,2022-09-22,154,1,0,0.471698113207547,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Oct22",2022-04-21,2022-10-21,183,1,0,0.474358974358974,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Nov22",2022-04-21,2022-11-18,211,1,0,0.765957446808511,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Dec22",2022-04-21,2022-12-15,238,1,0,0.696969696969697,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Janv23",2022-04-21,2023-01-25,279,1,0,0.63302752293578,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Feb23",2022-04-21,2023-02-21,306,1,0,0.58974358974359,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_March23",2022-04-21,2023-03-28,341,1,0,0.410071942446043,"Total (SOR)"
"L10","L10_0.45B_April22","L10_0.45_Apr23",2022-04-21,2023-05-03,377,1,0,0.478260869565217,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_June22",2022-05-19,2022-06-23,35,1,0,0.67032967032967,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_July22",2022-05-19,2022-07-21,63,1,0,0.578947368421053,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Aug22",2022-05-19,2022-08-18,91,1,0,0.725490196078431,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Sept22",2022-05-19,2022-09-22,126,1,0,0.689320388349515,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Oct22",2022-05-19,2022-10-21,155,1,0,0.72,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Nov22",2022-05-19,2022-11-18,183,1,0,0.631578947368421,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Dec22",2022-05-19,2022-12-15,210,1,0,0.627906976744186,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Janv23",2022-05-19,2023-01-25,251,1,0,0.660377358490566,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Feb23",2022-05-19,2023-02-21,278,1,0,0.737704918032787,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_March23",2022-05-19,2023-03-28,313,1,0,0.590361445783133,"Total (SOR)"
"L10","L10_0.45_May22","L10_0.45_Apr23",2022-05-19,2023-05-03,349,1,0,0.609756097560976,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_July22",2022-06-23,2022-07-21,28,1,0,0.5,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Aug22",2022-06-23,2022-08-18,56,1,0,0.6,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Sept22",2022-06-23,2022-09-22,91,1,0,0.464788732394366,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Oct22",2022-06-23,2022-10-21,120,1,0,0.424460431654676,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Nov22",2022-06-23,2022-11-18,148,1,0,0.766233766233766,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Dec22",2022-06-23,2022-12-15,175,1,0,0.780487804878049,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Janv23",2022-06-23,2023-01-25,216,1,0,0.739130434782609,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Feb23",2022-06-23,2023-02-21,243,1,0,0.7,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_March23",2022-06-23,2023-03-28,278,1,0,0.491803278688525,"Total (SOR)"
"L10","L10_0.45_June22","L10_0.45_Apr23",2022-06-23,2023-05-03,314,1,0,0.504132231404959,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Aug22",2022-07-21,2022-08-18,28,1,0,0.535714285714286,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Sept22",2022-07-21,2022-09-22,63,1,0,0.611111111111111,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Oct22",2022-07-21,2022-10-21,92,1,0,0.638095238095238,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Nov22",2022-07-21,2022-11-18,120,1,0,0.720930232558139,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Dec22",2022-07-21,2022-12-15,147,1,0,0.75,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Janv23",2022-07-21,2023-01-25,188,1,0,0.620689655172414,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Feb23",2022-07-21,2023-02-21,215,1,0,0.606060606060606,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_March23",2022-07-21,2023-03-28,250,1,0,0.636363636363636,"Total (SOR)"
"L10","L10_0.45_July22","L10_0.45_Apr23",2022-07-21,2023-05-03,286,1,0,0.632183908045977,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Sept22",2022-08-18,2022-09-22,35,1,0,0.647058823529412,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Oct22",2022-08-18,2022-10-21,64,1,0,0.656565656565657,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Nov22",2022-08-18,2022-11-18,92,1,0,0.72972972972973,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Dec22",2022-08-18,2022-12-15,119,1,0,0.761904761904762,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Janv23",2022-08-18,2023-01-25,160,1,0,0.692307692307692,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Feb23",2022-08-18,2023-02-21,187,1,0,0.666666666666667,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_March23",2022-08-18,2023-03-28,222,1,0,0.658536585365854,"Total (SOR)"
"L10","L10_0.45_Aug22","L10_0.45_Apr23",2022-08-18,2023-05-03,258,1,0,0.679012345679012,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_Oct22",2022-09-22,2022-10-21,29,1,0,0.390728476821192,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_Nov22",2022-09-22,2022-11-18,57,1,0,0.752808988764045,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_Dec22",2022-09-22,2022-12-15,84,1,0,0.723404255319149,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_Janv23",2022-09-22,2023-01-25,125,1,0,0.692307692307692,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_Feb23",2022-09-22,2023-02-21,152,1,0,0.607142857142857,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_March23",2022-09-22,2023-03-28,187,1,0,0.462686567164179,"Total (SOR)"
"L10","L10_0.45_Sept22","L10_0.45_Apr23",2022-09-22,2023-05-03,223,1,0,0.488721804511278,"Total (SOR)"
"L10","L10_0.45_Oct22","L10_0.45_Nov22",2022-10-21,2022-11-18,28,1,0,0.767441860465116,"Total (SOR)"
"L10","L10_0.45_Oct22","L10_0.45_Dec22",2022-10-21,2022-12-15,55,1,0,0.714285714285714,"Total (SOR)"
"L10","L10_0.45_Oct22","L10_0.45_Janv23",2022-10-21,2023-01-25,96,1,0,0.603960396039604,"Total (SOR)"
"L10","L10_0.45_Oct22","L10_0.45_Feb23",2022-10-21,2023-02-21,123,1,0,0.541284403669725,"Total (SOR)"
"L10","L10_0.45_Oct22","L10_0.45_March23",2022-10-21,2023-03-28,158,1,0,0.465648854961832,"Total (SOR)"
"L10","L10_0.45_Oct22","L10_0.45_Apr23",2022-10-21,2023-05-03,194,1,0,0.569230769230769,"Total (SOR)"
"L10","L10_0.45_Nov22","L10_0.45_Dec22",2022-11-18,2022-12-15,27,1,0,0.172413793103448,"Total (SOR)"
"L10","L10_0.45_Nov22","L10_0.45_Janv23",2022-11-18,2023-01-25,68,1,0,0.58974358974359,"Total (SOR)"
"L10","L10_0.45_Nov22","L10_0.45_Feb23",2022-11-18,2023-02-21,95,1,0,0.659574468085106,"Total (SOR)"
"L10","L10_0.45_Nov22","L10_0.45_March23",2022-11-18,2023-03-28,130,1,0,0.681159420289855,"Total (SOR)"
"L10","L10_0.45_Nov22","L10_0.45_Apr23",2022-11-18,2023-05-03,166,1,0,0.735294117647059,"Total (SOR)"
"L10","L10_0.45_Dec22","L10_0.45_Janv23",2022-12-15,2023-01-25,41,1,0,0.545454545454545,"Total (SOR)"
"L10","L10_0.45_Dec22","L10_0.45_Feb23",2022-12-15,2023-02-21,68,1,0,0.615384615384615,"Total (SOR)"
"L10","L10_0.45_Dec22","L10_0.45_March23",2022-12-15,2023-03-28,103,1,0,0.621621621621622,"Total (SOR)"
"L10","L10_0.45_Dec22","L10_0.45_Apr23",2022-12-15,2023-05-03,139,1,0,0.698630136986301,"Total (SOR)"
"L10","L10_0.45_Janv23","L10_0.45_Feb23",2023-01-25,2023-02-21,27,1,0,0.32258064516129,"Total (SOR)"
"L10","L10_0.45_Janv23","L10_0.45_March23",2023-01-25,2023-03-28,62,1,0,0.5,"Total (SOR)"
"L10","L10_0.45_Janv23","L10_0.45_Apr23",2023-01-25,2023-05-03,98,1,0,0.590361445783133,"Total (SOR)"
"L10","L10_0.45_Feb23","L10_0.45_March23",2023-02-21,2023-03-28,35,1,0,0.434782608695652,"Total (SOR)"
"L10","L10_0.45_Feb23","L10_0.45_Apr23",2023-02-21,2023-05-03,71,1,0,0.582417582417582,"Total (SOR)"
"L10","L10_0.45_March23","L10_0.45_Apr23",2023-03-28,2023-05-03,36,1,0,0.309734513274336,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_May22",2022-04-21,2022-05-19,28,0,1,0.474576271186441,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_June22",2022-04-21,2022-06-23,63,0,1,0.662650602409639,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_July22",2022-04-21,2022-07-21,91,0,1,0.604166666666667,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Aug22",2022-04-21,2022-08-18,119,0,1,0.628571428571429,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45B_Sept22",2022-04-21,2022-09-22,154,0,1,0.606060606060606,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Oct22",2022-04-21,2022-10-21,183,0,1,0.526881720430108,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Nov22",2022-04-21,2022-11-18,211,0,1,0.555555555555556,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Dec22",2022-04-21,2022-12-15,238,0,1,0.564102564102564,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Janv23",2022-04-21,2023-01-25,279,0,1,0.566666666666667,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Feb23",2022-04-21,2023-02-21,306,0,1,0.5,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_March23",2022-04-21,2023-03-28,341,0,1,0.408163265306122,"Total (SOR)"
"L11","L11_0.45_April22","L11_0.45_Apr23",2022-04-21,2023-05-03,377,0,1,0.473684210526316,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_June22",2022-05-19,2022-06-23,35,0,1,0.417322834645669,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_July22",2022-05-19,2022-07-21,63,0,1,0.471428571428571,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Aug22",2022-05-19,2022-08-18,91,0,1,0.649122807017544,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45B_Sept22",2022-05-19,2022-09-22,126,0,1,0.443181818181818,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Oct22",2022-05-19,2022-10-21,155,0,1,0.532846715328467,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Nov22",2022-05-19,2022-11-18,183,0,1,0.552,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Dec22",2022-05-19,2022-12-15,210,0,1,0.540983606557377,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Janv23",2022-05-19,2023-01-25,251,0,1,0.673076923076923,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Feb23",2022-05-19,2023-02-21,278,0,1,0.515625,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_March23",2022-05-19,2023-03-28,313,0,1,0.464788732394366,"Total (SOR)"
"L11","L11_0.45_May22","L11_0.45_Apr23",2022-05-19,2023-05-03,349,0,1,0.392405063291139,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_July22",2022-06-23,2022-07-21,28,0,1,0.485714285714286,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Aug22",2022-06-23,2022-08-18,56,0,1,0.670886075949367,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45B_Sept22",2022-06-23,2022-09-22,91,0,1,0.588652482269504,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Oct22",2022-06-23,2022-10-21,120,0,1,0.627450980392157,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Nov22",2022-06-23,2022-11-18,148,0,1,0.666666666666667,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Dec22",2022-06-23,2022-12-15,175,0,1,0.609195402298851,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Janv23",2022-06-23,2023-01-25,216,0,1,0.623188405797101,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Feb23",2022-06-23,2023-02-21,243,0,1,0.67741935483871,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_March23",2022-06-23,2023-03-28,278,0,1,0.607476635514019,"Total (SOR)"
"L11","L11_0.45_June22","L11_0.45_Apr23",2022-06-23,2023-05-03,314,0,1,0.59349593495935,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Aug22",2022-07-21,2022-08-18,28,0,1,0.478260869565217,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45B_Sept22",2022-07-21,2022-09-22,63,0,1,0.454545454545455,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Oct22",2022-07-21,2022-10-21,92,0,1,0.582608695652174,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Nov22",2022-07-21,2022-11-18,120,0,1,0.650485436893204,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Dec22",2022-07-21,2022-12-15,147,0,1,0.68,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Janv23",2022-07-21,2023-01-25,188,0,1,0.75609756097561,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Feb23",2022-07-21,2023-02-21,215,0,1,0.660377358490566,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_March23",2022-07-21,2023-03-28,250,0,1,0.566666666666667,"Total (SOR)"
"L11","L11_0.45_July22","L11_0.45_Apr23",2022-07-21,2023-05-03,286,0,1,0.5,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45B_Sept22",2022-08-18,2022-09-22,35,0,1,0.5625,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_Oct22",2022-08-18,2022-10-21,64,0,1,0.573033707865168,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_Nov22",2022-08-18,2022-11-18,92,0,1,0.584415584415584,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_Dec22",2022-08-18,2022-12-15,119,0,1,0.702702702702703,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_Janv23",2022-08-18,2023-01-25,160,0,1,0.75,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_Feb23",2022-08-18,2023-02-21,187,0,1,0.675,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_March23",2022-08-18,2023-03-28,222,0,1,0.574468085106383,"Total (SOR)"
"L11","L11_0.45_Aug22","L11_0.45_Apr23",2022-08-18,2023-05-03,258,0,1,0.618181818181818,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_Oct22",2022-09-22,2022-10-21,29,0,1,0.443708609271523,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_Nov22",2022-09-22,2022-11-18,57,0,1,0.553956834532374,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_Dec22",2022-09-22,2022-12-15,84,0,1,0.632352941176471,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_Janv23",2022-09-22,2023-01-25,125,0,1,0.694915254237288,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_Feb23",2022-09-22,2023-02-21,152,0,1,0.577464788732394,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_March23",2022-09-22,2023-03-28,187,0,1,0.487179487179487,"Total (SOR)"
"L11","L11_0.45B_Sept22","L11_0.45_Apr23",2022-09-22,2023-05-03,223,0,1,0.430232558139535,"Total (SOR)"
"L11","L11_0.45_Oct22","L11_0.45_Nov22",2022-10-21,2022-11-18,28,0,1,0.42,"Total (SOR)"
"L11","L11_0.45_Oct22","L11_0.45_Dec22",2022-10-21,2022-12-15,55,0,1,0.525773195876289,"Total (SOR)"
"L11","L11_0.45_Oct22","L11_0.45_Janv23",2022-10-21,2023-01-25,96,0,1,0.594936708860759,"Total (SOR)"
